pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
pop_A	pop_B	chr2L	1	100	0.1356737342138801	19
pop_A	pop_B	chr2L	101	200	0.1791331031837361	19
pop_A	pop_B	chr2L	201	300	0.1597064034421664	23
pop_A	pop_B	chr2L	301	400	0.1888262154176739	22
pop_A	pop_B	chr2L	401	500	0.1856562444797738	25
pop_A	pop_B	chr2L	501	600	0.1683168316831683	20
pop_A	pop_B	chr2L	601	700	0.13676886279626	25
pop_A	pop_B	chr2L	701	800	0.1858900422914263	21
pop_A	pop_B	chr2L	801	900	0.1377601585728443	21
pop_A	pop_B	chr2L	901	1000	0.1717828337546647	23
pop_A	pop_B	chr2L	1001	1100	0.2107421074210742	22
pop_A	pop_B	chr2L	1101	1200	0.1769847050254915	27
pop_A	pop_B	chr2L	1201	1300	0.1432976775561337	27
pop_A	pop_B	chr2L	1301	1400	0.2059925093632959	15
pop_A	pop_B	chr2L	1401	1500	0.18472954501074	20
pop_A	pop_B	chr2L	1501	1600	0.1738113795791114	24
pop_A	pop_B	chr2L	1601	1700	0.1875990042996153	18
pop_A	pop_B	chr2L	1701	1800	0.1804878048780487	20
pop_A	pop_B	chr2L	1801	1900	0.1979616705439237	19
pop_A	pop_B	chr2L	1901	2000	0.1550747037609479	29
pop_A	pop_B	chr2L	2001	2100	0.1716716716716716	29
pop_A	pop_B	chr2L	2101	2200	0.1213151927437641	28
pop_A	pop_B	chr2L	2201	2300	0.1739492301290053	30
pop_A	pop_B	chr2L	2301	2400	0.1795727106663489	27
pop_A	pop_B	chr2L	2401	2500	0.15527950310559	20
pop_A	pop_B	chr2L	2501	2600	0.1510834075393291	22
pop_A	pop_B	chr2L	2601	2700	0.1275069535939101	23
pop_A	pop_B	chr2L	2701	2800	0.1527641478573764	23
pop_A	pop_B	chr2L	2801	2900	0.1459074733096085	20
pop_A	pop_B	chr2L	2901	3000	0.2099860392543318	24
pop_A	pop_B	chr2L	3001	3100	0.1842077704471672	19
pop_A	pop_B	chr2L	3101	3200	0.177451826287029	25
pop_A	pop_B	chr2L	3201	3300	0.1550451189499589	21
pop_A	pop_B	chr2L	3301	3400	0.1287386215864759	22
pop_A	pop_B	chr2L	3401	3500	0.1683991683991683	26
pop_A	pop_B	chr2L	3501	3600	0.1331417624521072	23
pop_A	pop_B	chr2L	3601	3700	0.1862819539357124	19
pop_A	pop_B	chr2L	3701	3800	0.1993082576740164	24
pop_A	pop_B	chr2L	3801	3900	0.1457150581238172	19
pop_A	pop_B	chr2L	3901	4000	0.1406874500399679	26
pop_A	pop_B	chr2L	4001	4100	0.172813070029344	24
pop_A	pop_B	chr2L	4101	4200	0.1710758377425043	31
pop_A	pop_B	chr2L	4201	4300	0.1384863123993558	22
