pop	chromosome	window_pos_1	window_pos_2	tajima_d	no_sites	raw_pi	raw_watterson_theta	tajima_d_stdev
pop_A	chr2L	1	10000	-2.191243451316304	9783.0	230.21578947368425	482.2789058252211	115.03199984470908
pop_B	chr2L	1	10000	1.021720175651695	9783.0	729.4842105263159	586.5706621988808	139.87542943084102
pop_A	chr2L	10001	20000	-2.192866458916384	9796.0	237.5684210526316	498.0636040871804	118.79208693960952
pop_B	chr2L	10001	20000	1.0368302776732454	9796.0	755.1473684210526	605.4559261908679	144.37410389490927
pop_A	chr2L	20001	30000	-2.238147685349821	9825.0	233.37368421052636	500.6004305935667	119.3963866335626
pop_B	chr2L	20001	30000	0.9965065516344964	9825.0	746.8842105263158	603.482838908123	143.90409313715207
pop_A	chr2L	30001	40000	-2.227319144450018	9797.0	231.2263157894737	493.27182068622847	117.65063194904675
pop_B	chr2L	30001	40000	0.9881942594605928	9797.0	737.678947368421	596.9998378362468	142.3597720644158
pop_A	chr2L	40001	50000	-2.223880399768406	9786.0	228.84736842105264	487.35255883799374	116.24059928936006
pop_B	chr2L	40001	50000	0.9902912468942427	9786.0	729.2684210526317	589.9530975407292	140.68116218216
